 &plot nbnd= 240, nks=   251 /
            0.000000  0.000000  0.000000
    6.731    6.761    6.825    6.849    7.010    7.025    7.030    7.091    7.194    7.234
    7.306    7.351    7.540    7.557    7.622    7.651    7.709    7.719    7.853    7.861
    7.912    7.946    8.062    8.104    8.176    8.227    8.813    8.858    8.896    8.935
    9.024    9.038    9.126    9.139    9.213    9.262    9.358    9.372    9.395    9.421
    9.515    9.544    9.580    9.659    9.871    9.890    9.915    9.956    9.993   10.068
   10.499   10.566   11.415   11.480   11.697   11.739   11.772   11.795   12.499   12.568
   12.712   12.773   12.846   12.914   13.214   13.248   13.290   13.318   13.324   13.354
   13.408   13.479   13.503   13.564   13.682   13.699   13.734   13.771   13.799   13.837
   13.960   14.112   14.147   14.188   14.191   14.215   14.252   14.267   14.375   14.381
   14.505   14.698   14.739   14.785   14.893   15.003   15.009   15.029   15.148   15.241
   15.350   15.358   15.406   15.411   15.537   15.555   15.606   15.611   15.644   15.707
   15.728   15.796   15.921   16.236   16.257   16.331   16.357   16.377   16.449   16.469
            0.000000  0.000000  0.030126
  -74.320  -74.232  -69.663  -69.576  -43.552  -43.464  -43.189  -43.101  -42.637  -42.549
  -38.831  -38.743  -38.444  -38.357  -38.080  -37.992  -16.886  -16.885  -16.882  -16.882
  -16.879  -16.878  -16.874  -16.874  -16.850  -16.850  -16.842  -16.842  -16.828  -16.828
  -16.821  -16.821  -13.913  -13.913  -13.904  -13.904  -13.901  -13.901  -13.893  -13.893
  -13.890  -13.890  -13.884  -13.884  -13.877  -13.877  -13.862  -13.861  -13.858  -13.858
  -13.852  -13.852  -13.838  -13.838  -13.829  -13.829   -5.506   -5.475   -5.380   -5.344
   -5.299   -5.252   -5.146   -5.085   -3.839   -3.815   -3.615   -3.584   -3.351   -3.322
   -3.061   -3.045   -1.454   -1.430   -1.107   -1.092   -0.757   -0.739   -0.474   -0.454
    3.326    3.396    3.553    3.608    3.637    3.694    4.014    4.027    4.093    4.100
    4.114    4.149    4.564    4.617    4.684    4.727    5.220    5.240    5.280    5.311
    5.523    5.544    5.710    5.748    5.769    5.832    6.014    6.046    6.116    6.188
