G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
T                             101         0.1151440996      0.5000000000      0.5000000000      0.5000000000
P1                            816         0.9381502090      0.6638635638      0.1722728724      0.6638635638
F                             852         0.9790321958      0.5000000000      0.0000000000      0.5000000000
G                            1582         1.8196291845      0.0000000000      0.0000000000      0.0000000000
L                            2310         2.6575922598      0.5000000000      0.0000000000      0.0000000000
